offense,defense,play_text,penalty_type,penalty_yards
North Dakota,Kansas State,"PENALTY NODAK False Start (Hafer,Watson) 5 yards from NODAK37 to NODAK32. NO PLAY.",False Start,5.0
Miami,Notre Dame,"Miami Penalty, Offensive Holding (Samson Okunlola) to the MIA 26",Holding,
North Dakota,Kansas State,"(01:15) No Huddle-Shotgun Kaminski,Jerry sacked for loss of 3 yards to the NODAK34 (Bates,Travis) PENALTY KSTATE Face Mask (Clemons,Justice) 16 yards from NODAK37 to KSTATE47, 1ST DOWN. NO PLAY.",Face Mask,3.0
Kansas State,North Dakota,"(00:54) No Huddle-Shotgun Johnson,Avery pass intercepted by Lewis,Zach at NODAK22, End Of Play PENALTY NODAK Pass Interference (Walker,Bennett) 15 yards from KSTATE45 to NODAK40, 1ST DOWN. NO PLAY.",Pass Interference,15.0
North Dakota,Kansas State,"(05:34) No Huddle-Shotgun Kaminski,Jerry pass incomplete deep left to Fleming,BJ thrown to KSTATE08 broken up by Rich,Zashon PENALTY KSTATE Pass Interference (Rich,Zashon) 15 yards from KSTATE45 to KSTATE30, 1ST DOWN. NO PLAY.",Pass Interference,15.0
North Dakota,Kansas State,"(01:57) PENALTY NODAK False Start (Tai,Korey) 5 yards from NODAK43 to NODAK38. NO PLAY.",False Start,5.0
Charleston Southern,Vanderbilt,"PENALTY CSU Illegal Snap (Joe,Justin) 5 yards from CSU27 to CSU22. NO PLAY.",Other / Unclassified,5.0
Miami,Notre Dame,"Miami Penalty, Delay of Game (-5 Yards) to the MIA 20",Delay of Game,5.0
Notre Dame,Miami,"James Rendell punt for 55 yds , Malachi Toney returns for 9 yds to the MIA 34 Miami Penalty, Personal Foul (David Blay Jr.) to the MIA 13",Personal Foul,
Notre Dame,Miami,"Jeremiyah Love run for 1 yd to the MIA 1 for a 1ST down Miami Penalty, Unnecessary Roughness (Yards) to the MIA 1 for a 1ST down",Other / Unclassified,
Notre Dame,Miami,"Notre Dame Penalty, Offensive Holding (-10 Yards) to the MIA 24",Holding,10.0
Notre Dame,Miami,"Miami Penalty, Defensive Pass Interference (11 Yards) to the MIA 13 for a 1ST down",Pass Interference,11.0
Vanderbilt,Charleston Southern,"PENALTY Vandy Delay Of Game (Pavia,Diego) 5 yards from CSU17 to CSU22. NO PLAY.",Delay of Game,5.0
Vanderbilt,Charleston Southern,"PENALTY Vandy False Start (McConnell,Cade) 5 yards from CSU48 to Vandy47. NO PLAY.",False Start,5.0
Vanderbilt,Charleston Southern,"(03:29) No Huddle-Shotgun Pavia,Diego pass incomplete deep middle to Hudson,Trent thrown to CSU30 broken up by Paulk,Anthony PENALTY Vandy Holding offsetting CSU Pass Interference offsetting. NO PLAY.",Holding,
Charleston Southern,Vanderbilt,"(02:22) No Huddle-Shotgun Osborne,Zolten pass complete short middle to Kindell,Quay caught at CSU33, for 4 yards to the CSU39 (Fontenette,Randon) PENALTY CSU Holding (Moore,Nebanye) 10 yards from CSU35 to CSU25. NO PLAY.",Holding,4.0
Vanderbilt,Charleston Southern,"(00:21) Shotgun Pavia,Diego pass complete deep left to Hoskins,Richie caught at CSU15, for 43 yards to the CSU00 TOUCHDOWN nullified by penalty, clock 00:17 PENALTY Vandy Holding (Henderson,Bryce) 10 yards from CSU43 to Vandy47. NO PLAY.",Holding,43.0
Vanderbilt,Charleston Southern,"(00:14) Shotgun Pavia,Diego pass complete deep right to Sherrill,Junior caught at CSU33, for 20 yards to the CSU33, out of bounds at CSU33 PENALTY Vandy Holding (Glass,Isaia) 10 yards from Vandy47 to Vandy37. NO PLAY.",Holding,20.0
Vanderbilt,Charleston Southern,"PENALTY Vandy False Start (Glass,Isaia) 5 yards from Vandy44 to Vandy39. NO PLAY.",False Start,5.0
Miami,Notre Dame,"Miami Penalty, Offensive Holding (Anez Cooper) to the MIA 21",Holding,
Notre Dame,Miami,"CJ Carr sacked by Ahmad Moten Sr. for a loss of 11 yards to the MIA 32 Notre Dame Penalty, Intentional Grounding (CJ Carr) to the MIA 32",Other / Unclassified,11.0
Vanderbilt,Charleston Southern,"(05:57) No Huddle-Shotgun Alexander,Sedrick rush left for 9 yards gain to the CSU00 TOUCHDOWN nullified by penalty, clock 05:54 PENALTY Vandy Holding (Glass,Isaia) 10 yards from CSU09 to CSU19. NO PLAY.",Holding,9.0
Vanderbilt,Charleston Southern,"(05:52) No Huddle-Shotgun Pavia,Diego pass incomplete short right to Heard,CJ thrown to CSU00, 1ST DOWN, PENALTY CSU Pass Interference (Dixon,Avery) 15 yards from CSU19 to CSU04, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Vanderbilt,Charleston Southern,"(12:47) Shotgun Berlowitz,Blaze pass intercepted by at CSU12 PENALTY CSU Pass Interference (Tucker,Canii) 10 yards from CSU29 to CSU19, 1ST DOWN. NO PLAY.",Pass Interference,10.0
Vanderbilt,Charleston Southern,"(12:47) Shotgun Berlowitz,Blaze pass intercepted by Cook,Knai at CSU12 PENALTY CSU Pass Interference (Tucker,Canii) 10 yards from CSU29 to CSU19, 1ST DOWN. NO PLAY.",Pass Interference,10.0
Charleston Southern,Vanderbilt,"(04:44) Shotgun Echols,Jared pass incomplete deep left to Bishop,Jamil thrown to Vandy24 broken up by Ruth,Jailen PENALTY Vandy Pass Interference (Ruth,Jailen) 15 yards from CSU50 to Vandy35, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Charleston Southern,Vanderbilt,"(04:41) No Huddle-Shotgun Gordon,Isaiah rush middle for 1 yard gain to the Vandy34 (Curtis,Jamison; Daniels,Cayden) PENALTY CSU Tripping (Lancaster,Josiah) 14 yards from Vandy35 to Vandy49. NO PLAY.",Other / Unclassified,1.0
Miami,Notre Dame,"Notre Dame Penalty, Defensive Pass Interference (Christian Gray) to the ND 47 for a 1ST down",Pass Interference,
Notre Dame,Miami,"CJ Carr sacked by Akheem Mesidor for a loss of 7 yards to the ND 30 Notre Dame Penalty, Intentional Grounding (CJ Carr) to the ND 30",Other / Unclassified,7.0
Notre Dame,Miami,"Notre Dame Penalty, False Start (-5 Yards) to the ND 19",False Start,5.0
TCU,North Carolina,"Payne, Jeremy rush for 21 yards to the UNC17, PENALTY TCU holding (Manjack IV, Joseph) 10 yards to the UNC48, NO PLAY.",Holding,21.0
Austin Peay,Middle Tennessee,PENALTY APSU Delay Of Game 5 yards from MTSU15 to MTSU20. NO PLAY.,Delay of Game,5.0
